image_id,n_gt,n_pred,n_matched,n_false_neg,n_false_pos,nutrient_accuracy,quantity_accuracy,unit_accuracy,nrv_accuracy,full_tuple_accuracy,strict_tuple_accuracy
1.jpeg,5,5,3,2,2,1.0,0.6667,0.6667,0.6667,0.6667,0.3333
101.jpeg,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
102.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
103.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
104.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
105.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
106.jpeg,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
107.jpeg,10,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
108.jpeg,11,0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0
110.jpeg,6,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
111.jpeg,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
112.jpeg,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
113.jpeg,27,0,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0
114.jpeg,17,0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0
116.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
117.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
118.jpeg,10,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
119.jpeg,10,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
12.jpeg,8,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
120.jpeg,26,0,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0
121.jpeg,10,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
122.jpeg,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
15.jpeg,28,0,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0
16.jpeg,32,0,0,32,0,0.0,0.0,0.0,0.0,0.0,0.0
17.jpeg,4,1,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
2.jpeg,10,12,4,6,8,1.0,0.0,0.5,0.75,0.0,0.0
20.jpeg,38,3,3,35,0,1.0,0.0,0.0,0.0,0.0,0.0
201.jpeg,8,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
30.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
33.jpeg,17,1,0,17,1,0.0,0.0,0.0,0.0,0.0,0.0
34.jpeg,20,5,5,15,0,1.0,0.0,0.0,0.4,0.0,0.0
35.jpeg,2,15,2,0,13,1.0,0.0,0.5,0.0,0.0,0.0
42.jpeg,9,9,6,3,3,1.0,0.0,0.0,1.0,0.0,0.0
45.jpeg,9,14,8,1,6,1.0,0.125,0.125,1.0,0.0,0.0
51.jpeg,10,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
56.jpeg,5,3,1,4,2,1.0,0.0,0.0,1.0,0.0,0.0
59.jpeg,18,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0
6.jpeg,6,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
61.jpeg,11,9,3,8,6,1.0,0.0,0.0,1.0,0.0,0.0
63.jpeg,11,0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0
8.jpeg,9,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
9.jpeg,4,1,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
