image_id,width,height,n_tokens,low_conf,suspicious,low_pct
1.jpeg,441,263,11,0,2,0
101.jpeg,307,409,21,0,9,0
102.jpeg,252,214,27,0,14,0
103.jpeg,233,229,33,0,14,0
104.jpeg,251,237,33,0,13,0
105.jpeg,175,211,23,0,15,0
106.jpeg,195,240,23,0,2,0
107.jpeg,220,293,23,0,8,0
108.jpeg,691,1075,24,0,11,0
109.jpeg,712,950,19,0,8,0
110.jpeg,1236,783,22,0,7,0
111.jpeg,952,354,8,0,1,0
112.jpeg,816,268,7,0,1,0
113.jpeg,1210,1057,56,0,16,0
114.jpeg,1263,1116,58,0,17,0
115.jpeg,568,966,22,0,7,0
116.jpeg,1358,771,37,0,18,0
117.jpeg,888,674,12,0,3,0
118.jpeg,1040,517,35,0,16,0
119.jpeg,1104,537,34,0,15,0
12.jpeg,248,150,14,0,10,0
120.jpeg,811,1472,84,0,15,0
121.jpeg,805,613,34,0,16,0
15.jpeg,262,590,3,0,2,0
17.jpeg,219,127,15,0,3,0
2.jpeg,413,203,21,0,10,0
20.jpeg,534,444,67,0,16,0
201.jpeg,1491,738,29,0,19,0
26.jpeg,1231,189,84,0,0,0
27.jpeg,322,370,25,0,3,0
30.jpeg,477,354,17,0,0,0
33.jpeg,291,284,34,0,4,0
34.jpeg,270,448,82,0,33,0
35.jpeg,520,130,10,0,3,0
4.jpeg,847,185,90,0,0,0
41.jpeg,177,123,13,0,0,0
42.jpeg,187,203,19,0,1,0
45_1.jpeg,209,234,25,0,1,0
45_2.jpeg,168,191,17,0,2,0
51.jpeg,479,198,28,0,14,0
53.jpeg,446,201,24,0,10,0
56.jpeg,365,239,15,0,6,0
57.jpeg,375,225,19,0,4,0
59.jpeg,493,402,34,0,12,0
6.jpeg,607,98,19,0,0,0
61.jpeg,739,234,27,0,12,0
63.jpeg,702,210,28,0,11,0
64.jpeg,246,216,25,0,8,0
67.jpeg,641,416,13,0,1,0
68.jpeg,531,587,36,0,13,0
78.jpeg,721,498,29,0,4,0
8.jpeg,167,163,9,0,0,0
82.jpeg,385,240,20,0,4,0
88.jpeg,343,248,22,0,11,0
9.jpeg,325,92,12,0,1,0
90.jpeg,575,378,32,0,8,0
91.jpeg,362,322,29,0,13,0
